HALF.INNING,Outs.Inning,Runs.Inning,Team,Home,Pitcher,SP,R_SP,Estimate,League
MIA201308210 2 0,3,0,LAN,0,eovan001,0,0,-0.007985313786555629,NL
MIA201308210 2 1,3,0,MIA,1,greiz001,1,0,-0.023927883754648924,NL
MIA201308210 3 0,3,0,LAN,0,eovan001,0,0,-0.007985313786555629,NL
MIA201308210 3 1,3,0,MIA,1,greiz001,0,0,-0.023927883754648924,NL
MIA201308210 4 0,3,3,LAN,0,eovan001,4,3,-0.007985313786555629,NL
MIA201308210 4 1,3,0,MIA,1,greiz001,1,0,-0.023927883754648924,NL
MIA201308210 5 0,3,0,LAN,0,eovan001,1,0,-0.007985313786555629,NL
MIA201308210 5 1,3,0,MIA,1,greiz001,0,0,-0.023927883754648924,NL
MIA201308210 6 0,3,0,LAN,0,eovan001,1,0,-0.007985313786555629,NL
MIA201308210 6 1,3,0,MIA,1,greiz001,0,0,-0.023927883754648924,NL
MIA201308210 7 0,3,0,LAN,0,eovan001,1,0,-0.007985313786555629,NL
MIA201308210 7 1,3,0,MIA,1,greiz001,0,0,-0.023927883754648924,NL
MIA201308210 8 0,3,1,LAN,0,webbr001,2,1,-0.008114443062360985,NL
MIA201308210 8 1,3,0,MIA,1,greiz001,0,0,-0.023927883754648924,NL
