LA,LS,HR,Predicted,Z,Model_Season,Predict_Season
"(35,40]","(100,105]",75,93.25892887843658,-1.8907324827515906,2016,2020
"(35,40]","(105,110]",51,50.621177956364924,0.05324380928348476,2016,2020
"(35,40]","(110,115]",5,4.831362482643982,0.07672190693107847,2016,2020
"(40,45]","(90,95]",1,1.5730496396551916,-0.45689986526384174,2016,2020
"(40,45]","(95,100]",13,8.715042351933086,1.4514824288910473,2016,2020
"(40,45]","(100,105]",17,17.335861861406954,-0.0806655263083586,2016,2020
"(40,45]","(105,110]",15,13.02266097809693,0.547937810175562,2016,2020
"(15,20]","(90,95]",0,0.25233888362450735,-0.5023334386883949,2016,2021
"(15,20]","(95,100]",2,4.2065661782728485,-1.075853394037858,2016,2021
"(15,20]","(100,105]",15,53.98038376009491,-5.305522083221875,2016,2021
"(15,20]","(105,110]",127,202.10426460657803,-5.282954364878206,2016,2021
"(15,20]","(110,115]",79,109.10406231722118,-2.882070789420139,2016,2021
"(20,25]","(90,95]",3,10.467053885103878,-2.3080066478286554,2016,2021
"(20,25]","(95,100]",81,129.81135089108614,-4.284148266186442,2016,2021
"(20,25]","(100,105]",501,701.9183501714896,-7.583615493689996,2016,2021
"(20,25]","(105,110]",683,793.7636582777021,-3.931440302628877,2016,2021
"(20,25]","(110,115]",211,207.16077531971203,0.2667409938073046,2016,2021
"(25,30]","(90,95]",37,61.848393715524715,-3.1596145658007777,2016,2021
"(25,30]","(95,100]",327,405.2740135252444,-3.8881519086301775,2016,2021
"(25,30]","(100,105]",910,996.3751092943672,-2.7363848357601865,2016,2021
"(25,30]","(105,110]",680,688.693655354373,-0.33127554588429553,2016,2021
"(25,30]","(110,115]",144,141.92043844731666,0.17456183855146748,2016,2021
"(30,35]","(90,95]",62,69.51723714492292,-0.9015960479552623,2016,2021
"(30,35]","(95,100]",263,345.78890081363755,-4.452117236257389,2016,2021
"(30,35]","(100,105]",618,663.2666438723064,-1.7576573641678088,2016,2021
"(30,35]","(105,110]",408,402.6957489698914,0.2643233603543463,2016,2021
"(30,35]","(110,115]",71,71.84925423724425,-0.10019051063337032,2016,2021
"(35,40]","(90,95]",22,30.55410996751608,-1.5475333262360822,2016,2021
"(35,40]","(95,100]",106,122.34481227389966,-1.477703008317692,2016,2021
"(35,40]","(100,105]",238,271.4939386572026,-2.0327602123177777,2016,2021
"(35,40]","(105,110]",142,167.1954469878808,-1.9485423270235593,2016,2021
"(35,40]","(110,115]",21,20.08692429297922,0.2037276928076156,2016,2021
"(40,45]","(90,95]",1,4.0228652267658696,-1.5071311398488936,2016,2021
"(40,45]","(95,100]",26,21.88566891143007,0.879466547795141,2016,2021
"(40,45]","(100,105]",49,55.93985917071152,-0.9278760673540332,2016,2021
"(40,45]","(105,110]",25,32.7815751939407,-1.3591037456455446,2016,2021
"(40,45]","(110,115]",5,4.229257976408091,0.37478046903107504,2016,2021
"(15,20]","(90,95]",1,0.25139336225796904,1.493058314596453,2016,2022
"(15,20]","(95,100]",2,4.108494841508437,-1.0402343000280987,2016,2022
"(15,20]","(100,105]",13,54.75987778537183,-5.643233025105128,2016,2022
"(15,20]","(105,110]",93,190.8597034789865,-7.08348164861825,2016,2022
"(15,20]","(110,115]",49,86.88754214092134,-4.064598722730982,2016,2022
"(20,25]","(90,95]",1,11.606047810046428,-3.113231405619896,2016,2022
"(20,25]","(95,100]",72,139.1899687706846,-5.69508841159963,2016,2022
"(20,25]","(100,105]",405,680.7492644798325,-10.568680580157269,2016,2022
"(20,25]","(105,110]",632,744.5733620766543,-4.125550326894425,2016,2022
"(20,25]","(110,115]",184,188.88724508817128,-0.35560085995666546,2016,2022
